GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
44000,Rhode Island,28349.7,29581.1,31875.3,33611.8,34965.7,36700.2,38541.5,39241.3,41162,42935.2,43768.6,42764.9,44973.9,46685.4,48186.5,48187,50045.1,51775.2,52514.5,54704.3,56918.9,60313.6,64756.6,69837.3,69514.2
45000,South Carolina,89751.9,94148.5,100705.3,104242.1,107305.3,111196.7,117451.8,124417,134174.2,143055.1,149954.4,146753.7,151745.9,160391.1,168271.2,170204.8,180837.7,192054.7,200027.4,210387.6,219942.1,234324,250288.3,274347.8,283245.8
46000,South Dakota,18102.9,18948.9,20201.2,20892.2,20898.5,22822.7,24553.2,26005.4,27393.1,30342.5,32676.8,31827.1,33682.9,36655,37469.6,37840.2,39607.1,41160.1,41551.5,42989.3,45144,48031.4,52793.3,58627.9,62028.3
47000,Tennessee,139760.3,145231.9,153990.1,158125.3,162879.4,169929.5,179892.9,188177.6,200188.9,209746.8,218372.5,217094.7,227613,241431.7,252592.3,254464.6,263856,277356.1,286532.3,299307.7,316176.5,335496.9,359633.6,396986.1,411035.1
48000,Texas,514882.6,543797.6,591738.3,631080.2,639443.1,664814.9,696381.3,754775.9,827439.7,878902.4,968499.3,923470.7,982052.8,1074858,1142887.5,1173747.4,1257639.6,1281170.1,1276330.6,1367826,1463789.8,1536597,1611228.3,1789719.4,1879419.6
49000,Utah,48098.5,50670,54230.6,56788.7,58508.6,60770.4,64795,70661.8,78561.1,85528.5,89967.8,86594.7,88940.5,95881.7,101928.1,105028,111056.4,119661.5,126540.6,134546.7,144645.5,155673.6,169940.2,190468.3,201011.8
50000,Vermont,15458.6,16326.2,17680.2,18797.4,19198.1,19945.8,21049.1,21477.4,22803.5,24063,25449.4,25216.4,25988.7,27547.8,28291.9,28666,29724.5,30598,31073.3,31960.2,33117.1,34824.1,37273.8,39603.5,40790.3
51000,Virginia,199883.6,214025.7,231869.8,244314.3,251357.7,266325.2,284687.3,303288.9,323553.8,341200.3,355506.4,349465.4,364677.9,385635.1,402072.1,398579.8,414710.1,433088.2,444691.4,462372.2,479766.6,501811.6,530920.4,578639.7,599042
53000,Washington,169365.4,179870.3,192317.8,197445.7,201073.1,209167.8,224342.9,232783.8,253199.9,274770.4,289381.1,277889.8,285436.7,302460.8,324882.7,330952.6,355276.6,376360.8,397270.6,423017.2,451609.2,484334.2,522713.8,574266.8,586520.2
54000,West Virginia,37130.6,38078.6,40251.6,42750.3,44243.2,44952.8,46551.2,48854.3,52147,54184.7,57958.9,58487.5,60532.1,64059,65488.4,65152.6,67156.8,68437.8,68067.9,70797.6,74235,76746.6,80741,87617.4,88744.9
55000,Wisconsin,143130,148737,158494.2,166593.2,171010,175794.3,183721.4,189779.2,201058.4,210529.9,219194.5,216211.9,222260.9,234631.6,244508.3,245762.3,255165.3,266132,270846.6,281979.5,295996.8,307907.6,326836.5,355048,362245.3
56000,Wyoming,12615.1,13476.8,14545.3,15440.8,15905.3,16937.2,18287.4,20004.4,22895.5,24408.3,27002.5,24912.8,26185.4,28699.9,30844.4,30694.1,32679.6,32755.6,31090.1,32487.4,34025.2,35592.6,37866.4,40866.6,42584.7
